Course ID,Course Title,Upper Div,Skills
CMPSC 154,Computer Architecture,True,"['hardware', 'architecture', 'systems', 'processing', 'software', 'controllers', 'interrupt', 'devices', 'memory', 'peripheral']"
CMPSC 156,Advanced Applications Programming,True,"['programming', 'software', 'application', 'advanced', 'virtual', 'code', 'development', 'students', 'language', 'library']"
CMPSC 160,Translation of Programming Languages,True,"['compilers', 'compiler', 'parsers', 'syntax', 'structure', 'analysis', 'construction', 'lexical', 'code', 'environments']"
CMPSC 162,Programming Languages,True,"['programming', 'languages', 'paradigms', 'modularization', 'scopes', 'development', 'infrastructures', 'encapsulation', 'reusability', 'systems']"
CMPSC 165A,Artificial Intelligence,True,"['ai', 'computational', 'heuristic', 'agents', 'probabilistic', 'intelligence', 'systems', 'intelligent', 'knowledge', 'learning']"
CMPSC 165B,Machine Learning,True,"['algorithms', 'learning', 'ml', 'machine', 'networks', 'neural', 'bayesian', 'concept', 'artificial', 'analytical']"
CMPSC 170,Operating Systems,True,"['interprocess', 'systems', 'operating', 'synchronization', 'basic', 'communication', 'memory', 'file', 'notion', 'management']"
CMPSC 171,Distributed Systems,True,"['distributed', 'systems', 'architecture', 'computers', 'programming', 'asynchrony', 'communication', 'network', 'consistency', 'problems']"
CMPSC 172,Software Engineering,True,"['programming', 'engineering', 'software', 'projects', 'students', '130b', 'project', 'specification', 'medium', 'management']"
CMPSC 174A,Fundamentals of Database Systems,True,"['database', 'sql', 'relational', 'enrolling', 'students', 'processing', 'architectures', 'data', 'join', 'query']"
CMPSC 174B,Design and Implementation Techniques of Database Systems,True,"['processing', 'databases', 'concurrency', 'ecommended', 'checkpointing', 'enrolling', 'students', 'execution', 'queries', 'optimizer']"
CMPSC 176A,Introduction to Computer Communication Networks,True,"['pstat', 'networking', 'basic', '120b', 'recommended', 'osi', 'codes', 'preparation', 'routing', 'networks']"
CMPSC 176B,Network Computing,True,"['socket', 'networking', 'web', 'distributed', 'applications', 'class', 'internet', 'technologies', 'programming', 'used']"
CMPSC 176C,Advanced Topics in Internet Computing,True,"['studied', 'detail', 'during', 'second', 'half', 'above', 'more', 'greater', 'of', 'in']"
CMPSC 177,Computer Security,True,"['security', 'privacy', 'secure', 'certification', 'sharing', 'systems', 'basics', 'technical', 'examination', 'information']"
CMPSC 178,Introduction to Cryptography,True,"['cryptography', 'cryptanalysis', 'encryption', 'enigma', 'security', 'signatures', 'theory', 'systems', 'shannon', 'basic']"
CMPSC 180,Computer Graphics,True,"['opengl', 'graphics', '3d', 'surfaces', 'shading', 'texturing', 'libraries', 'curves', 'hardware', 'algorithms']"
CMPSC 181,Introduction to Computer Vision,True,"['images', 'ece', 'recognition', 'vision', 'segmentation', 'cmpsc', 'image', 'detection', 'video', '181b']"
CMPSC 184,Mobile Application Development,True,[]
CMPSC 185,Human-Computer Interaction,True,"['programming', 'java', 'computers', 'interface', 'interaction', 'interfaces', 'students', 'architects', 'proficiency', 'teaches']"
CMPSC 186,Internet of Things (IoT) Systems,True,"['iot', 'cloud', 'python', 'programming', 'computing', 'internet', 'sensors', 'devices', 'protocols', 'teach']"
CMPSC 188,Introduction to Natural Language Processing,True,"['nlp', 'corpora', 'syntactic', 'tagging', 'language', 'ai', 'semantic', 'text', 'learning', 'prerequisites']"
CMPSC 189A,Senior Computer Systems Project,True,"['groups', 'meetings', 'project', 'group', 'interaction', 'cooperate', 'multiple', 'among', 'independently', 'follow']"
CMPSC 189B,Senior Computer Systems Project,True,"['groups', 'project', 'meetings', 'group', 'interaction', 'cooperate', 'multiple', 'independently', 'among', 'each']"
CMPSC 190AAZZ,Special Topics in Computer Science,True,"['architectures', 'cmpsc', 'programming', 'computing', 'architecture', 'engineering', 'software', 'systems', 'networking', 'security']"
CMPSC 192,Projects in Computer Science,True,"['gpa', 'undergraduate', 'students', 'projects', 'minimum', 'advanced', 'science', 'must', 'in', 'for']"
CMPSC 193,Internship in Industry,True,"['students', 'proposal', 'projects', 'supervision', 'approval', 'units', 'special', 'maximum', 'research', 'repeated']"
CMPSC 196,Undergraduate Research,True,"['electives', 'students', 'departmental', 'undergraduate', 'seminar', 'units', 'presentations', 'research', 'opportunities', 'participate']"
CMPSC 199,Independent Studies in Computer Science,True,"['gpa', 'students', 'minimum', 'studies', 'three', 'quarters', 'advanced', 'consent', 'preceding', 'independent']"
