,University,Course ID,Course Title,Upper Div,Skills
15,Berkeley,COMPSCI C100,Principles & Techniques of Data Science,True,"['data', 'visualizations', 'visualization', 'analyzing', 'quantitative', 'algorithms', 'learning', 'students', 'classification', 'science']"
16,Berkeley,COMPSCI 152,Computer Architecture and Engineering,True,"['multiprocessors', 'processor', 'architecture', 'multithreading', 'parallelism', 'pipelining', 'vliw', 'virtual', 'memory', 'hierarchies']"
17,Berkeley,COMPSCI 160,User Interface Design and Development,True,"['usability', 'prototyping', 'design', 'interface', 'interfaces', 'methodologies', 'evaluation', 'tangible', 'tools', 'implementation']"
18,Berkeley,COMPSCI 161,Computer Security,True,"['cryptographic', 'cryptography', 'security', 'encryption', 'firewalls', 'authentication', 'viruses', 'applications', 'protocols', 'programming']"
19,Berkeley,COMPSCI 162,Operating Systems and System Programming,True,"['interprocess', 'programs', 'programming', 'program', 'systems', 'processes', 'operating', 'system', 'libraries', 'synchronization']"
20,Berkeley,COMPSCI 164,Programming Languages and Compilers,True,"['compilers', 'programming', 'interpreters', 'implementation', 'parsing', 'assemblers', 'code', 'languages', 'scanning', 'semantic']"
21,Berkeley,COMPSCI 168,Introduction to the Internet: Architecture and Protocols,True,"['protocols', 'tcp', 'routing', 'http', 'udp', 'ethernet', 'ip', 'internet', 'congestion', 'network']"
22,Berkeley,COMPSCI 169A,Introduction to Software Engineering,True,"['agile', 'software', 'refactoring', 'development', 'architecture', 'designing', 'systems', 'maintainability', 'design', 'documentation']"
23,Berkeley,COMPSCI 169L,Software Engineering Team Project,True,"['agile', 'scrums', 'teamwork', 'collaboration', 'software', 'design', 'meetings', 'project', 'team', 'workflows']"
24,Berkeley,COMPSCI 170,Efficient Algorithms and Intractable Problems,True,"['algorithms', 'computation', 'turing', 'machines', 'trees', 'combinatorial', 'search', 'deterministic', 'models', 'techniques']"
25,Berkeley,COMPSCI 171,Cryptography,True,"['cryptography', 'cryptology', 'encryption', 'complexity', 'securely', 'security', 'secure', 'algorithms', 'computational', 'mathematical']"
26,Berkeley,COMPSCI 172,Computability and Complexity,True,"['automata', 'turing', 'complexity', 'nondeterministic', 'randomness', 'machines', 'completeness', 'computation', 'undecidable', 'finite']"
27,Berkeley,COMPSCI 174,Combinatorics and Discrete Probability,True,"['probabilistic', 'permutations', 'computations', 'hashing', 'exclusion', 'entropy', 'combinations', 'generating', 'graphs', 'random']"
28,Berkeley,COMPSCI 176,Algorithms for Computational Biology,True,"['phylogenetics', 'algorithms', 'genome', 'rna', 'biology', 'computational', 'suffix', 'markov', 'trees', 'pattern']"
29,Berkeley,COMPSCI C176,Algorithms for Computational Biology,True,"['phylogenetics', 'genome', 'biology', 'algorithms', 'gene', 'computational', 'epigenome', 'pathogenicity', 'forests', 'pattern']"
30,Berkeley,COMPSCI C177,Algorithmic Economics,True,"['algorithmic', 'economic', 'pricing', 'consumption', 'maximization', 'normative', 'design', 'market', 'goods', 'efficiency']"
31,Berkeley,COMPSCI 180,Intro to Computer Vision and Computational Photography,True,"['photographs', 'photography', 'images', 'programming', 'computing', 'visual', 'image', 'computational', 'algorithms', 'vision']"
32,Berkeley,COMPSCI C182,"Designing, Visualizing and Understanding Deep Neural Networks",True,"['networks', 'deep', 'yann', 'intuitive', 'lecun', 'insights', 'modeling', 'theoretical', 'vision', 'technology']"
33,Berkeley,COMPSCI 184,Foundations of Computer Graphics,True,"['rendering', 'modeling', 'graphics', 'geometrical', 'surface', 'geometry', 'lighting', 'reflection', 'models', 'objects']"
34,Berkeley,COMPSCI 185,"Deep Reinforcement Learning, Decision Making, and Control",True,"['reinforcement', 'learning', 'assignments', 'exploration', 'overview', 'critic', 'topics', 'control', 'advanced', 'policy']"
35,Berkeley,COMPSCI 186,Introduction to Database Systems,True,"['database', 'relational', 'access', 'data', 'application', 'programming', 'transaction', 'query', 'implementation', 'processing']"
36,Berkeley,COMPSCI C187,Data Engineering,True,"['data', 'managing', 'operationalization', 'management', 'learning', 'practices', 'scalable', 'visualization', 'analysis', 'science']"
37,Berkeley,COMPSCI 188,Introduction to Artificial Intelligence,True,"['topics', 'systems', 'robotics', 'design', 'intelligent', 'ideas', 'planning', 'knowledge', 'techniques', 'machine']"
38,Berkeley,COMPSCI 189,Introduction to Machine Learning,True,"['algorithms', 'supervised', 'clustering', 'models', 'probabilistic', 'topics', 'learning', 'regression', 'applications', 'networks']"
39,Berkeley,COMPSCI C191,Introduction to Quantum Computing,True,"['quantum', 'cryptography', 'nanoscale', 'multidisciplinary', 'informational', 'computational', 'physical', 'complexity', 'algorithms', 'introduction']"
40,Berkeley,COMPSCI 194,Special Topics,True,"['semester', 'topics', 'announcements', 'science', 'division', 'will', 'see', 'vary', 'to', 'the']"
41,Berkeley,COMPSCI 195,Social Implications of Computer Technology,True,"['topics', 'discussions', 'students', 'pornography', 'technological', 'electronic', 'censorship', 'privacy', 'ethics', 'community']"
42,Berkeley,COMPSCI H195,Honors Social Implications of Computer Technology,True,"['topics', 'discussions', 'students', 'pornography', 'technological', 'electronic', 'censorship', 'privacy', 'ethics', 'community']"
43,Berkeley,COMPSCI H196A,Senior Honors Thesis Research,True,"['thesis', 'semesters', 'h196a', 'h196b', 'graded', 'units', 'electrical', 'engineering', 'credit', 'college']"
44,Berkeley,COMPSCI H196B,Senior Honors Thesis Research,True,"['thesis', 'semesters', 'h196a', 'h196b', 'graded', 'units', 'electrical', 'engineering', 'credit', 'college']"
45,Berkeley,COMPSCI 197,Field Study,True,"['students', 'programs', 'campus', 'requirements', 'cpt', 'tutoring', 'graduation', 'mentoring', 'applications', 'major']"
46,Berkeley,COMPSCI 198,Directed Group Studies for Advanced Undergraduates,True,"['topics', 'developments', 'study', 'sciences', 'group', 'new', 'relating', 'selected', 'in', 'usually']"
47,Berkeley,COMPSCI 199,Supervised Independent Study,True,"['enrollment', 'study', 'restrictions', 'supervised', 'independent', 'apply']"
48,Merced,CSE 005,Introduction to Computer Applications,False,"['programming', 'computers', 'data', 'security', 'information', 'management', 'manage', 'knowledge', 'flow', 'control']"
49,Merced,CSE 015,Discrete Mathematics,False,"['mathematics', 'discrete', 'disciplines', 'basic', 'graphs', 'logic', 'formal', 'algebra', 'relations', 'boolean']"
50,Merced,CSE 019,Introduction to Computing,False,"['programming', 'basics', 'arrays', 'variables', 'students', 'recursion', 'execution', 'loops', 'output', 'solving']"
51,Merced,CSE 022,Introduction to Programming,False,"['programming', 'python', 'students', 'teaching', 'computers', 'learning', 'computational', 'learn', 'debugging', 'project']"
52,Merced,CSE 024,Advanced Programming,False,"['programming', 'pointers', 'basic', 'students', 'language', 'threading', 'advanced', 'introduces', 'intermediate', 'memory']"
53,Merced,CSE 030,Data Structures,False,"['algorithms', 'lists', 'implementation', 'sorting', 'graphs', 'stacks', 'queues', 'patterns', 'structures', 'tables']"
54,Merced,CSE 031,Computer Organization and Assembly Language,False,"['programming', 'pointers', 'machines', 'students', 'hardware', 'compilation', 'instruction', 'implementation', 'mips', 'structure']"
55,Merced,CSE 095,Lower Division Undergraduate Research,False,"['supervised', 'research']"
56,Merced,CSE 098,Lower Division Directed Group Study,False,"['repeats', '99', 'for', 'allowed']"
57,Merced,CSE 099,Lower Division Individual Study,False,"['repeats', '99', 'for', 'allowed']"
58,Merced,CSE 100,Algorithm Design and Analysis,True,"['algorithm', 'algorithms', 'algorithmic', 'sorting', 'optimization', 'complexity', 'graphs', 'patterns', 'programming', 'searching']"
59,Merced,CSE 106,Exploratory Computing,True,"['programming', 'scripting', 'unix', 'computing', 'documentation', 'perl', 'exploratory', 'languages', 'basics', 'utilities']"
60,Merced,CSE 107,Introduction to Digital Image Processing,True,"['segmentation', 'perception', 'image', 'morphological', 'enhancement', 'processing', 'digital', 'visual', 'detection', 'spatial']"
61,Merced,CSE 108,Full Stack Web Development,True,"['backend', 'frameworks', 'databases', 'security', 'development', 'web', 'scalable', 'relational', 'architecture', 'mappers']"
62,Merced,CSE 111,Database Systems,True,"['databases', 'database', 'sql', 'relational', 'data', 'warehousing', 'processing', 'programming', 'modeling', 'transaction']"
63,Merced,CSE 120,Software Engineering,True,"['projects', 'methodology', 'software', 'engineering', 'students', 'teams', 'project', 'systems', 'models', 'using']"
64,Merced,CSE 126,Information Systems and Service Design,True,"['systems', 'organizations', 'services', 'enterprises', 'legacy', 'government', 'life', 'contexts', 'start', 'entities']"
65,Merced,CSE 130,Introduction to Cryptography,True,"['cryptographic', 'encryption', 'security', 'authentication', 'signatures', 'hashing', 'protocols', 'pseudorandom', 'proofs', 'integrity']"
66,Merced,CSE 135,Introduction to Theory of Computation,True,"['computability', 'automata', 'computation', 'complexity', 'computers', 'formal', 'mathematical', 'languages', 'capabilities', 'limitations']"
67,Merced,CSE 140,Computer Architecture,True,"['architectural', 'cpus', 'digital', 'registers', 'systems', 'memory', 'instruction', 'features', 'mathematics', 'modern']"
68,Merced,CSE 141,Introduction to Compiler Construction,True,"['compiler', 'automata', 'parsing', 'code', 'construction', 'optimizations', 'lexical', 'basic', 'allocation', 'representation']"
69,Merced,CSE 150,Operating Systems,True,"['concurrency', 'systems', 'operating', 'multitasking', 'security', 'memory', 'performance', 'management', 'file', 'analysis']"
70,Merced,CSE 151,Advanced Operating Systems,True,"['operating', 'advanced', 'systems', 'distributed', 'system', 'security', 'concept', 'networks', 'research', 'introduces']"
71,Merced,CSE 155,Introduction to Human-Computer Interaction,True,"['hci', 'interactive', 'interaction', 'computers', 'software', 'hardware', 'students', 'development', 'human', 'systems']"
72,Merced,CSE 157,Signal Processing for Internet of Things,True,"['iot', 'signals', 'signal', 'digitization', 'analog', 'digital', 'internet', 'devices', 'processing', 'algorithms']"
73,Merced,CSE 160,Computer Networks,True,"['protocols', 'networking', 'network', 'routing', 'scalability', 'robustness', 'networks', 'implementation', 'security', 'features']"
74,Merced,CSE 162,Mobile Computing,True,"['mobile', 'smartphones', 'cloud', 'devices', 'technologies', 'applications', 'computing', 'context', 'communication', 'basic']"
75,Merced,CSE 165,Introduction to Object Orientated Programming,True,"['programming', 'classes', 'interfaces', 'objects', 'packages', 'encapsulation', 'inheritance', 'object', 'oriented', 'polymorphism']"
76,Merced,CSE 168,Distributed Software Systems,True,"['distributed', 'availability', 'cloud', 'replication', 'scalability', 'software', 'systems', 'computing', 'streaming', 'processing']"
77,Merced,CSE 170,Computer Graphics,True,"['graphics', 'shading', 'shaders', 'rasterization', 'illumination', 'rendering', 'animation', 'programmable', 'algorithms', 'surfaces']"
78,Merced,CSE 171,Game Programming,True,"['animation', '3d', 'interactive', 'simulators', 'robotics', 'graphics', 'kinematics', 'articulated', 'keyframe', 'simulation']"
79,Merced,CSE 173,Computational Cognitive Neuroscience,True,"['simulations', 'computational', 'neurons', 'modeling', 'synaptic', 'dynamics', 'neurotransmitters', 'brain', 'cognitive', 'models']"
80,Merced,CSE 175,Introduction to Artificial Intelligence,True,"['architectures', 'robotics', 'intelligent', 'systems', 'agent', 'planning', 'knowledge', 'heuristic', 'reasoning', 'construction']"
81,Merced,CSE 176,Introduction to Machine Learning,True,"['software', 'learns', 'supervised', 'classifiers', 'classification', 'learning', 'clustering', 'ensembles', 'experience', 'models']"
82,Merced,CSE 177,Database Systems Implementation,True,"['database', 'execution', 'compiler', 'internals', 'buffer', 'management', 'query', 'engine', 'storage', 'optimizer']"
83,Merced,CSE 178,Computers and Networks Security,True,"['cryptography', 'security', 'authentication', 'secure', 'signatures', 'viruses', 'secret', 'algorithms', 'threats', 'key']"
84,Merced,CSE 179,Introduction to Parallel Computing,True,"['parallel', 'supercomputer', 'computing', 'programming', 'algorithm', 'architectures', 'pervasive', 'laptops', 'performance', 'efficiency']"
85,Merced,CSE 180,Introduction to Robotics,True,"['robotics', 'simulation', 'modeling', 'computational', 'planning', 'algorithmic', 'spatial', 'sensor', 'implementation', 'processing']"
86,Merced,CSE 185,Introduction to Computer Vision,True,"['recognition', 'segmentation', 'shading', 'image', 'detection', 'processing', 'shape', 'optical', 'flow', 'pattern']"
87,Merced,CSE 190,Topics in Computer Science and Engineering,True,"['semester', 'engineering', 'class', 'covers', 'science', 'defined', 'covered', 'scheduled', 'specific', 'focus']"
88,Merced,CSE 195,Upper Division Undergraduate Research,True,"['supervised', 'research']"
89,Merced,CSE 198,Upper Division Directed Group Study,True,"['repeats', '99', 'for', 'allowed']"
90,Merced,CSE 199,Upper Division Individual Study,True,"['repeats', '99', 'for', 'allowed']"
91,Davis,ECS 011, Artificial Intelligence for All,False,"['ai', 'intelligence', 'ethical', 'awareness', 'introduction', 'artificial', 'communication', 'comprehensive', 'recognition', 'applications']"
92,Davis,ECS 012, Introduction to Media Computation,False,"['programming', 'computational', 'digital', 'media', 'fundamentals', 'introduction', 'students', 'analysis', 'science', 'represented']"
93,Davis,ECS 017," Data, Logic, & Computing",False,"['computers', 'algorithms', 'mathematics', 'processing', 'numbers', 'digital', 'operations', 'analyzing', 'images', 'data']"
94,Davis,ECS 020, Discrete Mathematics For Computer Science,False,"['mathematics', 'discrete', 'combinatorics', 'recursion', 'induction', 'utility', 'sets', 'theory', 'relations', 'graph']"
95,Davis,ECS 032A, Introduction to Programming,False,"['python', 'programming', 'students', 'introduction', 'solving', 'major', 'problem', 'at', 'in', 'and']"
96,Davis,ECS 032AV, Introduction to Programming,False,"['python', 'programming', 'students', 'introduction', 'solving', 'major', 'problem', 'at', 'in', 'and']"
97,Davis,ECS 032B, Introduction to Data Structures,False,"['heaps', 'python', 'structures', 'graphs', 'trees', 'sorting', 'data', 'searching', 'analysis', 'design']"
98,Davis,ECS 032C, Implementation of Data Structures in C,False,"['programming', 'unix', 'programs', 'implementation', 'basic', 'structures', 'language', 'tools', 'data', 'complexity']"
99,Davis,ECS 034, Software Development in UNIX & C++,False,"['unix', 'debugging', 'programming', 'tools', 'operating', 'system', 'environment', 'verification', 'methods', 'principles']"
100,Davis,ECS 036A, Programming & Problem Solving,False,"['programming', 'unix', 'computers', 'debugging', 'basic', 'students', 'tools', 'algorithm', 'design', 'experience']"
101,Davis,ECS 036B, Software Development & Object-Oriented Programming in C++,False,"['programming', 'debugging', 'programs', 'basic', 'structures', 'object', 'complexity', 'methods', 'oriented', 'data']"
102,Davis,ECS 036C," Data Structures, Algorithms, & Programming",False,"['hashing', 'heaps', 'structures', 'sorting', 'data', 'searching', 'graphs', 'trees', 'programming', 'applications']"
103,Davis,ECS 050, Computer Organization & Machine-Dependent Programming,False,"['hardware', 'architectures', 'programming', 'machines', 'assembly', 'software', 'machine', 'languages', 'system', 'abstract']"
104,Davis,ECS 088, Ethics of Technology,False,"['ethical', 'ethics', 'technologies', 'technology', 'moral', 'normative', 'philosophy', 'ai', 'engineering', 'society']"
105,Davis,ECS 089A, Special Topics in Computer Science: Computer Science Theory,False,"['topics', 'theory', 'science', 'special', 'in']"
106,Davis,ECS 089B, Special Topics in Computer Science: Architecture,False,"['architecture', 'topics', 'special', 'in']"
107,Davis,ECS 089C, Special Topics in Computer Science: Programming Languages & Compilers,False,"['compilers', 'programming', 'topics', 'languages', 'special', 'in']"
108,Davis,ECS 089D, Special Topics in Computer Science: Operating Systems,False,"['operating', 'systems', 'topics', 'special', 'in']"
109,Davis,ECS 089E, Special Topics in Computer Science: Software Engineering,False,"['topics', 'software', 'engineering', 'special', 'in']"
110,Davis,ECS 089F, Special Topics in Computer Science: Databases,False,"['databases', 'topics', 'special', 'in']"
111,Davis,ECS 089G, Special Topics in Computer Science: Artificial Intelligence,False,"['topics', 'intelligence', 'artificial', 'special', 'in']"
112,Davis,ECS 089H, Special Topics in Computer Science: Computer Graphics,False,"['graphics', 'topics', 'special', 'in']"
113,Davis,ECS 089I, Special Topics in Computer Science: Networks,False,"['networks', 'topics', 'special', 'in']"
114,Davis,ECS 089J, Special Topics in Computer Science: Computer-Aided Design,False,"['design', 'topics', 'aided', 'special', 'in']"
115,Davis,ECS 089K, Special Topics in Computer Science: Scientific Computing,False,"['computing', 'topics', 'scientific', 'special', 'in']"
116,Davis,ECS 089L, Special Topics in Computer Science: Computer Science,False,"['topics', 'science', 'special', 'in']"
117,Davis,ECS 092, Internship in Computer Science,False,"['supervised', 'experience', 'work', 'science', 'in']"
118,Davis,ECS 098, Directed Group Study,False,"['group', 'study', 'directed']"
119,Davis,ECS 098F, Student Facilitated Course,False,"['students', 'facilitated', 'division', 'primarily', 'course', 'lower', 'for', 'intended']"
120,Davis,ECS 099, Special Study for Lower Division Students,False,"['study', 'students', 'division', 'special', 'lower', 'for']"
121,Davis,ECS 111, Applied Machine Learning for Non-Majors,True,"['supervised', 'matching', 'algorithms', 'learning', 'unsupervised', 'machine', 'application', 'theory', 'methods', 'challenges']"
122,Davis,ECS 113, Computer Security for Non-Majors,True,"['security', 'vulnerabilities', 'authentication', 'cryptography', 'protection', 'principles', 'malicious', 'practices', 'implementation', 'software']"
123,Davis,ECS 115, Computer Networks for Non-Majors,True,"['tcp', 'protocols', 'protocol', 'ip', 'network', 'web', 'networks', 'overview', 'programming', 'introduction']"
124,Davis,ECS 116, Databases for Non-Majors,True,"['databases', 'database', 'nosql', 'relational', 'sql', 'concurrency', 'diagrams', 'overview', 'transaction', 'systems']"
125,Davis,ECS 117, Algorithms for Data Science,True,"['algorithms', 'clustering', 'searching', 'matching', 'pattern', 'analysis', 'combinatorial', 'series', 'problems', 'time']"
126,Davis,ECS 119, Data Processing Pipelines,True,"['datasets', 'software', 'streams', 'scripting', 'processing', 'distributed', 'computing', 'data', 'infrastructure', 'systems']"
127,Davis,ECS 120, Theory of Computation,True,"['computability', 'computational', 'complexity', 'reducibility', 'computation', 'theory', 'languages', 'formal', 'fundamental', 'problems']"
128,Davis,ECS 122A, Algorithm Design & Analysis,True,"['algorithms', 'algorithm', 'complexity', 'graph', 'sorting', 'searching', 'programming', 'matching', 'pattern', 'methods']"
129,Davis,ECS 122B, Algorithm Design & Analysis,True,"['algorithms', 'algorithm', 'implementation', 'complex', 'geometric', 'programming', 'randomized', 'graph', 'parallel', 'problems']"
130,Davis,ECS 124, Theory & Practice of Bioinformatics,True,"['bioinformatics', 'phylogenetic', 'genome', 'gene', 'biology', 'biological', 'clustering', 'molecular', 'genetics', 'algorithmic']"
131,Davis,ECS 127, Cryptography,True,"['cryptography', 'cryptographic', 'encryption', 'authentication', 'security', 'signatures', 'protocols', 'introduction', 'techniques', 'theory']"
132,Davis,ECS 129, Computational Structural Bioinformatics,True,"['molecular', 'protein', 'structures', 'structure', 'structural', 'computational', 'nucleic', 'biology', 'biological', 'databases']"
133,Davis,ECS 130, Scientific Computation,True,"['matlab', 'matrix', 'vector', 'computing', 'interpolation', 'quadrature', 'parallel', 'optimization', 'factorizations', 'eigenvalues']"
134,Davis,ECS 132, Probability & Statistical Modeling for Computer Science,True,"['bioinformatics', 'multivariate', 'univariate', 'markov', 'distributions', 'models', 'software', 'applications', 'estimation', 'data']"
135,Davis,ECS 140A, Programming Languages,True,"['programming', 'syntactic', 'languages', 'language', 'abstraction', 'definition', 'variables', 'scoping', 'imperative', 'types']"
136,Davis,ECS 140B, Programming Languages,True,"['programming', 'paradigms', 'concurrent', 'implementation', 'principles', 'semantics', 'continuation', 'language', 'parallel', 'functional']"
137,Davis,ECS 142, Compilers,True,"['compilers', 'parsing', 'lexical', 'implementation', 'code', 'semantic', 'analysis', 'optimization', 'principles', 'techniques']"
138,Davis,ECS 145, Scripting Languages & Their Applications,True,"['scripting', 'python', 'languages', 'applications', 'guis', 'graphical', 'interfaces', 'examples', 'analysis', 'goals']"
139,Davis,ECS 150, Operating Systems & System Programming,True,"['interprocess', 'programming', 'programs', 'program', 'processes', 'systems', 'operating', 'system', 'subsystems', 'basic']"
140,Davis,ECS 152A, Computer Networks,True,"['tcp', 'protocols', 'protocol', 'networking', 'ip', 'network', 'overview', 'internet', 'routing', 'networks']"
141,Davis,ECS 152B, Computer Networks,True,"['protocols', 'tcp', 'protocol', 'sockets', 'networking', 'applications', 'ip', 'server', 'network', 'application']"
142,Davis,ECS 152C, Advanced Topics in Computer Networks,True,"['networking', 'network', 'multimedia', 'networks', 'traffic', 'topics', 'wireless', 'advanced', 'communication', 'simulation']"
143,Davis,ECS 153, Computer Security,True,"['security', 'encryption', 'authentication', 'secure', 'vulnerabilities', 'protection', 'implementation', 'integrity', 'access', 'principles']"
144,Davis,ECS 154A, Computer Architecture,True,"['hardware', 'interrupts', 'digital', 'devices', 'software', 'programming', 'design', 'systems', 'memory', 'operating']"
145,Davis,ECS 154B, Computer Architecture,True,"['multiprocessors', 'uniprocessor', 'pipelining', 'cpu', 'microprogrammed', 'hardwired', 'memory', 'performance', 'hierarchies', 'design']"
146,Davis,ECS 158, Programming on Parallel Architectures,True,"['synchronization', 'parallel', 'workstations', 'software', 'shared', 'architectures', 'algorithms', 'development', 'locks', 'memory']"
147,Davis,ECS 160,  Software Engineering,True,"['software', 'specification', 'requirements', 'engineering', 'systems', 'methodologies', 'implementation', 'testing', 'design', 'verification']"
148,Davis,ECS 161, Modern Programming Tools,True,"['collaborative', 'software', 'development', 'tools', 'modern', 'concepts', 'using', 'practice', 'and', 'of']"
149,Davis,ECS 162, Web Programming,True,"['development', 'server', 'client', 'building', 'websites', 'technical', 'software', 'aspects', 'side', 'including']"
150,Davis,ECS 163, Information Interfaces,True,"['visualization', 'interactive', 'information', 'visual', 'display', 'design', 'data', 'navigation', 'interfaces', 'interaction']"
151,Davis,ECS 164, Human-Computer Interaction,True,"['design', 'interaction', 'modern', 'introduction', 'concepts', 'human', 'practice', 'and', 'of', 'to']"
152,Davis,ECS 165A, Database Systems,True,"['database', 'sql', 'relational', 'modeling', 'model', 'processing', 'languages', 'management', 'algebra', 'transaction']"
153,Davis,ECS 165B, Database Systems,True,"['database', 'modeling', 'semistructured', 'programming', 'xml', 'sql', 'data', 'querying', 'relational', 'models']"
154,Davis,ECS 170, Introduction to Artificial Intelligence,True,"['systems', 'processing', 'knowledge', 'implementation', 'design', 'intelligent', 'organization', 'language', 'inference', 'memory']"
155,Davis,ECS 171, Machine Learning,True,"['classification', 'clustering', 'supervised', 'learning', 'unsupervised', 'regression', 'dimensionality', 'applications', 'introduction', 'methods']"
156,Davis,ECS 172, Recommender Systems,True,"['recommender', 'factorization', 'collaborative', 'filtering', 'matrix', 'content', 'based', 'textual', 'building', 'approaches']"
157,Davis,ECS 173, Image Processing & Analysis,True,"['images', 'cameras', 'extraction', 'detection', 'imagery', 'specimens', 'objects', 'automated', 'sensors', 'devices']"
158,Davis,ECS 174, Computer Vision,True,"['recognition', 'segmentation', 'vision', 'detection', 'images', 'visual', 'feature', 'videos', 'machines', 'grouping']"
159,Davis,ECS 175, Computer Graphics,True,"['graphics', 'interactive', 'geometric', 'systems', 'principles', 'hardware', 'design', 'interaction', 'system', 'transformations']"
160,Davis,ECS 177, Scientific Visualization,True,"['graphics', 'images', 'simulated', 'applications', 'techniques', 'data', 'flows', 'air', 'structures', 'bodies']"
161,Davis,ECS 178, Geometric Modeling,True,"['animation', 'graphics', 'shapes', 'interactive', 'geometrical', 'design', 'architectural', 'aircraft', 'techniques', 'manipulating']"
162,Davis,ECS 179, Gameplay Programming,True,"['gameplay', 'development', 'game', 'systems', 'software', 'design', 'developing', 'technical', 'engineering', 'genre']"
163,Davis,ECS 188, Ethics in an Age of Technology,True,"['technology', 'technological', 'ethics', 'engineering', 'social', 'foundations', 'science', 'values', 'work', 'benefits']"
164,Davis,ECS 189A, Special Topics in Computer Science: Computer Science Theory,True,"['topic', 'theory', 'science', 'special', 'in']"
165,Davis,ECS 189B, Special Topics in Computer Science: Architecture,True,"['architecture', 'topic', 'special', 'in']"
166,Davis,ECS 189C, Special Topics in Computer Science: Programming Languages & Compilers,True,"['compilers', 'programming', 'languages', 'topic', 'special', 'in']"
167,Davis,ECS 189D, Special Topics in Computer Science: Operating Systems,True,"['operating', 'systems', 'topic', 'special', 'in']"
168,Davis,ECS 189E, Special Topics in Computer Science: Software Engineering,True,"['topic', 'software', 'engineering', 'special', 'in']"
169,Davis,ECS 189F, Special Topics in Computer Science: Databases,True,"['databases', 'topic', 'special']"
170,Davis,ECS 189G, Special Topics in Computer Science: Artificial Intelligence,True,"['topic', 'artificial', 'intelligence', 'special', 'in']"
171,Davis,ECS 189H, Special Topics in Computer Science: Computer Graphics,True,"['graphics', 'topic', 'special', 'in']"
172,Davis,ECS 189I, Special Topics in Computer Science: Networks,True,"['networks', 'topic', 'special', 'in']"
173,Davis,ECS 189J, Special Topics in Computer Science: Computer-Aided Design,True,"['design', 'topic', 'aided', 'special', 'in']"
174,Davis,ECS 189K, Special Topics in Computer Science: Scientific Computing,True,"['computing', 'topic', 'scientific', 'special', 'in']"
175,Davis,ECS 189L, Special Topics in Computer Science: Computer Science,True,"['topic', 'science', 'special', 'in']"
176,Davis,ECS 189M, Special Topics in Computer Security: Computer Security,True,"['security', 'topics', 'special', 'in']"
177,Davis,ECS 189N, Special Topics in Bioinformatics & Computational Biology,True,"['bioinformatics', 'biology', 'topics', 'computational', 'in', 'special']"
178,Davis,ECS 190C, Research Group Conferences in Computer Science,True,"['conferences', 'research', 'group']"
