Course ID,Course Title,Upper,Skills
CS 164,Computer Networks,True,"['protocols', 'network', 'networks', 'unix', 'architecture', 'programming', 'layered', 'security', 'communication', 'performance']"
CS 165,Computer Security,True,"['security', 'breaches', 'attacks', 'vulnerable', 'firewalls', 'passwords', 'safeguards', 'intrusion', 'encryption', 'viruses']"
CS 166,Database Management Systems,True,"['database', 'relational', 'architecture', 'distributed', 'security', 'hierarchical', 'management', 'implementation', 'privacy', 'systems']"
CS 167,Introduction to Big Data Management,True,"['nosql', 'storage', 'distributed', 'data', 'processing', 'big', 'apis', 'architecture', 'shared', 'functionality']"
CS/EE 168,Introduction to Very Large Scale Integration (VLSI) Design    ,True,"['hardware', 'circuits', 'cad', 'fabrication', 'simulation', 'designs', 'integrated', 'circuit', 'mos', 'subsystem']"
CS 169,Mobile Wireless Networks,True,"['wireless', 'wlan', 'protocols', 'tcp', 'mobile', 'network', 'cellular', 'routing', 'networks', 'mac']"
CS 170,Introduction to Artificial Intelligence,True,"['constraint', 'heuristic', 'planning', 'discretevalued', 'search', 'inference', 'logical', 'intelligence', 'problems', 'artificial']"
CS 171/EE 142,Introduction to Machine Learning and Data Mining    ,True,"['classification', 'clustering', 'supervised', 'regression', 'data', 'learning', 'rule', 'mining', 'function', 'formalisms']"
CS 172,Introduction to Information Retrieval,True,"['retrieval', 'indexing', 'ranking', 'searching', 'search', 'evaluation', 'grading', 'ir', 'web', 'document']"
CS 173,Introduction to NLP,True,"['nlp', 'parsing', 'tagging', 'coreference', 'processing', 'speech', 'algorithms', 'entity', 'approaches', 'language']"
CS 175,Entrepreneurship in Computing,True,"['technological', 'technology', 'technical', 'developing', 'software', 'companies', 'requirements', 'business', 'introduces', 'create']"
CS 178A,Project Sequence in CSE,True,"['graded', '178b', 'final', '178a', 'progress', 'hardware', 'technology', '179', 'applied', 'letter']"
CS 178B,Project Sequence in CSE,True,"['technology', 'hardware', 'devices', 'software', 'ethical', 'systems', 'teams', 'responsibilities', 'document', 'environment']"
CS 179F,Project in Computer Science - Operating Systems,True,"['160', 'systems', 'documentation', 'system', 'operating', 'recommended', 'technology', 'implementation', 'environment', 'society']"
CS 179G,Project in Computer Science - Database Systems,True,"['database', 'documentation', 'implementation', 'planning', 'system', 'technology', 'responsibilities', 'incorporates', 'environment', 'testing']"
CS 179I,Project in Computer Science: Networks,True,"['network', 'technology', 'documentation', 'system', 'planning', 'implementation', 'responsibilities', 'incorporates', 'global', 'society']"
CS 179J,Project in Computer Science: Computer Architecture and Embedded Systems,True,"['architecture', 'embedded', 'systems', 'technology', 'system', 'implementation', 'documentation', 'environment', 'incorporates', 'planning']"
CS 179M, Project in Computer Science: Artificial Intelligence,True,"['intelligence', 'technology', 'planning', 'artificial', 'implementation', 'documentation', 'system', 'responsibilities', 'ethical', 'environment']"
CS 179N,Project in Computer Science - Graphics and Electronic Games,True,"['graphics', 'game', 'planning', 'technology', 'documentation', 'responsibilities', 'system', 'global', 'environment', 'implementation']"
CS 180,Introduction to Software Engineering,True,"['software', 'reengineering', 'engineering', 'debugging', 'specification', 'development', 'implementation', 'maintenance', 'systems', 'requirements']"
CS 181,Principles of Programming Languages,True,"['programming', 'implementations', 'languages', 'language', 'features', 'comparison', 'their', 'covers', 'and', 'of']"
CS 182,Software Testing and Verification ,True,"['testing', 'reliability', 'software', 'quality', 'assess', 'artifacts', 'performance', 'verification', 'modern', 'box']"
CS 183,UNIX System Administration,True,"['unix', 'operating', 'administration', 'system', 'managing', 'technical', 'advanced', 'installation', 'networking', 'communications']"
CS 189,Apprentice Tutoring (1 unit)    ,True,"['tutoring', 'graded', 'learning', 'satisfactory', 'effective', 'leading', 'nc', 'aids', 'science', 'mindset']"
