Course ID,Course Title,Upper Div,Skills
CSE 91, Perspectives in Computer Science and Engineering,False,"['cse', 'seminar', 'format', 'developments', 'discussion', 'science', 'future', 'relation', 'concentrating', 'areas']"
CSE 95, Tutor Apprenticeship,False,"['tutors', 'tutor', 'cse', 'mentoring', 'students', 'training', 'assigned', 'application', 'develop', 'appointment']"
CSE 99, Independent Study in Computer Science and Engineering,False,"['reading', 'research', 'independent', 'arrangement', 'special', 'by', 'member', 'with', 'or']"
CSE 100, Advanced Data Structures,True,"['algorithms', 'implementation', 'programming', 'pointers', 'structures', 'performance', 'data', 'tables', 'queues', 'memory']"
CSE 100R, Advanced Data Structures,True,"['algorithms', 'implementation', 'structures', 'pointers', 'performance', 'queues', 'data', 'memory', 'tables', 'trees']"
CSE 101, Design and Analysis of Algorithms,True,"['algorithms', 'complexity', 'sorting', 'searching', 'matching', 'graph', 'efficient', 'nonnumerical', 'pattern', 'analysis']"
CSE 103, A Practical Introduction to Probability and Statistics,True,"['classifiers', 'distributions', 'bayesian', 'cse', 'learning', 'estimation', 'likelihood', 'ece', 'math', 'hypothesis']"
CSE 105, Theory of Computability,True,"['computability', 'computable', 'automata', 'turing', 'undecidability', 'mathematical', 'languages', 'halting', 'formal', 'recursive']"
CSE 106, Discrete and Continuous Optimization,True,"['optimization', 'optimize', 'constraints', 'algorithmic', 'multipliers', 'convex', 'engineering', 'paths', 'programming', 'shortest']"
CSE 107, Introduction to Modern Cryptography,True,"['cryptography', 'encryption', 'ciphers', 'protocols', 'protocol', 'security', 'authentication', 'proofs', 'certification', 'private']"
CSE 109, Introduction to Programming Contests,True,"['contests', 'contest', 'algorithms', 'programming', 'icpc', 'computational', 'combinatorial', 'combinatorics', 'complexity', 'classes']"
CSE 110, Software Engineering,True,"['agile', 'development', 'software', 'ide', 'specification', 'implementation', 'testing', 'engineering', 'team', 'test']"
CSE 112, Advanced Software Engineering,True,"['engineering', 'software', 'requirements', 'development', 'maintenance', 'environments', 'systems', 'specifications', 'automated', 'testing']"
CSE 118, Ubiquitous Computing,True,"['projects', 'sensors', 'devices', 'project', 'software', 'teamwork', 'research', 'computing', 'networked', 'teams']"
CSE 120, Operating Systems Principles,True,"['operating', 'cse', 'synchronization', 'systems', 'memory', 'scheduling', 'protection', 'file', 'virtual', 'management']"
CSE 121, Real-World Operating Systems,True,"['os', 'programming', 'architecture', 'operating', 'implementation', 'code', 'systems', 'system', 'technologies', 'language']"
CSE 122, Wireless Networks,True,"['wireless', 'technologies', 'cse', 'engineering', '222c', 'software', 'application', 'network', 'code', 'compilation']"
CSE 123, Computer Networks,True,"['protocols', 'internetworking', 'internet', 'cse', 'networks', 'communication', 'ece', 'layers', 'congestion', 'routing']"
CSE 124, Networked Services,True,"['cse', 'tcp', 'ece', 'networked', 'protocol', 'protocols', '158b', '123b', 'enterprise', 'architecture']"
CSE 125, Software System Design and Implementation,True,"['cse', 'software', 'curriculum', 'systems', 'system', 'project', 'implementation', 'interaction', 'complex', 'multiple']"
CSE 127, Introduction to Computer Security,True,"['security', 'cryptography', 'exploits', 'basic', 'systems', 'attack', 'class', 'auditing', 'models', 'theory']"
CSE 130, Programming Languages: Principles and Paradigms,True,"['programming', 'languages', 'language', 'cse', 'paradigms', 'prolog', 'pascal', 'ada', 'studied', 'analysis']"
CSE 131, Compiler Construction,True,"['compiler', 'cse', 'programming', 'compilation', 'syntax', 'code', 'languages', '131b', '131', '131a']"
CSE 132A, Database System Principles,True,"['databases', 'database', 'schema', 'relational', 'data', 'basic', 'systems', 'modeling', 'concurrency', 'advanced']"
CSE 132B, Database Systems Applications,True,"['databases', 'datablades', 'index', 'transactions', 'trigger', 'performance', 'structures', 'organization', 'facilities', 'measuring']"
CSE 132C, Database System Implementation,True,"['rdbms', 'database', 'rdbmss', 'relational', 'programming', 'implementations', 'storage', 'buffer', 'processing', 'indexing']"
CSE 134B, Web Client Languages,True,"['java', 'web', 'interactive', 'clients', 'applications', 'implementation', 'helper', 'language', 'world', 'using']"
CSE 135, Online Database Analytics Applications,True,"['analytics', 'database', 'sql', 'data', 'cube', 'querying', 'applications', 'programming', 'warehouse', 'visualizations']"
CSE 136, Enterprise-Class Web Applications,True,"['applications', 'application', 'software', 'web', 'modeling', 'implementation', 'server', 'j2ee', 'functionality', 'model']"
CSE 140, Components and Design Techniques for Digital Systems,True,"['boolean', 'machines', 'combinational', 'logic', 'modules', 'multilevel', 'modular', 'synthesis', 'sequential', 'forms']"
CSE 140L, Digital Systems Laboratory,True,"['hardware', 'synthesis', 'minimization', 'combinational', 'digital', 'logic', 'system', 'implementation', 'machine', 'construction']"
CSE 141, Introduction to Computer Architecture,True,"['cse', 'processor', 'architecture', 'systems', 'system', '141', 'memory', '142', 'units', 'offered']"
CSE 141L, Project in Computer Architecture,True,"['architecture', 'instruction', 'students', 'systems', 'memory', 'hands', 'project', 'control', 'familiarize', 'set']"
CSE 142, Introduction to Computer Architecture: A Software Perspective,True,"['processors', 'processor', 'compiler', 'cpus', 'x86', 'cse', 'programming', 'core', 'instruction', 'performance']"
CSE 142L, Software Project for Computer Architecture,True,"['cpus', 'performance', 'efficiency', 'modern', 'using', 'features', 'experience', 'provides', 'this', 'in']"
CSE 143, Microelectronic System Design,True,"['vlsi', 'hardware', 'subsystem', 'technologies', 'project', 'synthesis', 'system', 'clocking', 'circuit', 'description']"
CSE 145, Embedded Systems Design Project,True,"['prototyping', 'hardware', 'embedded', 'computing', 'software', 'cse', 'project', 'technical', 'builds', 'system']"
CSE 147, Introduction to Embedded Systems,True,"['hardware', 'embedded', 'architecture', 'processors', 'software', 'systems', 'basic', 'projects', 'class', 'modeling']"
CSE 148, Advanced Processor Architecture Design Project,True,"['hardware', 'programmable', 'processor', 'architectural', 'features', 'implemented', 'pipelining', 'designs', 'execution', 'devices']"
CSE 150A, Introduction to Artificial Intelligence: Probabilistic Reasoning and Decision-Making,True,"['probabilistic', 'bayesian', 'markov', 'robotics', 'models', 'inference', 'uncertainty', 'prediction', 'planning', 'networks']"
CSE 150B, Introduction to Artificial Intelligence: Search and Reasoning,True,"['ai', 'algorithms', 'learning', 'search', 'applications', 'reinforcement', 'optimization', 'ideas', 'adversarial', 'practical']"
CSE 151A, Machine Learning: Learning Algorithms,True,"['classifiers', 'clustering', 'algorithms', 'supervised', 'learning', 'unsupervised', 'boosting', 'cse', 'perceptrons', 'nearest']"
CSE 151B, Deep Learning,True,"['backpropagation', 'learning', 'networks', 'neural', 'lectures', 'perceptrons', 'convolutional', 'python', 'regression', 'cse']"
CSE 152A, Introduction to Computer Vision I,True,"['recognition', 'vision', 'images', 'motion', 'detection', 'learning', 'algorithms', 'python', 'image', 'models']"
CSE 152B, Introduction to Computer Vision II,True,"['svm', 'classification', 'segmentation', 'vision', 'learning', 'detection', 'industry', 'boosting', 'networks', 'vector']"
CSE 156, Statistical Natural Language Processing,True,"['nlp', 'parsing', 'syntactic', 'sentences', 'probabilistic', 'text', 'language', 'statistical', 'classification', 'ai']"
CSE 158, Recommender Systems and Web Mining,True,"['analytics', 'predictive', 'data', 'mining', 'learning', 'research', 'world', 'ideas', 'sets', 'systems']"
CSE 158R, Recommender Systems and Web Mining,True,"['analytics', 'predictive', 'data', 'mining', 'learning', 'research', 'world', 'ideas', 'sets', 'systems']"
CSE 160, Introduction to Parallel Computing,True,"['multithreading', 'parallelism', 'parallel', 'processor', 'synchronization', 'computing', 'performance', 'memory', 'architecture', 'algorithms']"
CSE 163, Advanced Computer Graphics,True,"['graphics', 'rendering', 'animation', 'programming', 'modeling', 'areas', 'imaging', 'processing', 'geometric', 'projects']"
CSE 165, 3-D User Interaction,True,"['vr', 'displays', 'interfaces', 'interaction', 'applications', 'lectures', 'presentations', 'dimensional', 'interactions', 'devices']"
CSE 166, Image Processing,True,"['wavelet', 'segmentation', 'image', 'filter', 'vision', 'enhancement', 'sampling', 'graphics', 'transforms', 'stochastic']"
CSE 167, Computer Graphics,True,"['pictorial', 'graphics', 'graphic', 'transformations', 'representation', 'shading', 'curves', 'data', 'surfaces', 'software']"
CSE 167R, Computer Graphics,True,"['pictorial', 'graphics', 'graphic', 'transformations', 'representation', 'projection', 'shading', 'surfaces', 'software', 'data']"
CSE 168, Computer Graphics II: Rendering,True,"['programming', 'assignments', 'cse', 'graphics', 'rendering', 'programmable', 'algorithms', 'tracing', 'students', 'illumination']"
CSE 168R, Computer Graphics II: Rendering,True,"['programming', 'assignments', 'graphics', 'algorithms', 'cse', 'rendering', 'programmable', 'students', 'tracing', 'shading']"
CSE 169, Computer Animation,True,"['animation', 'graphics', 'advanced', 'programming', 'kinematics', 'motion', 'algorithms', 'locomotion', 'physically', 'approaches']"
CSE 170, Interaction Design,True,"['designing', 'prototyping', 'html', 'implementing', 'software', 'interfaces', 'cse', 'basic', 'introduces', 'students']"
CSE 175, Successful Entrepreneurship for Engineers,True,"['entrepreneurs', 'start', 'starting', 'teaching', 'basics', 'business', 'education', 'investor', 'financial', 'learn']"
CSE 176A, Health Care Robotics,True,"['robotics', 'robot', 'prototypes', 'clinical', 'clinicians', 'health', 'interactive', 'students', 'engineers', 'develop']"
CSE 176E, Robot Systems Design and Implementation,True,"['embedded', 'cse', 'systems', 'electronic', 'pcb', 'system', 'software', '276e', 'development', 'program']"
CSE 180, Biology Meets Computing,True,"['bioinformatics', 'python', 'programming', 'cse', 'assessments', 'biological', 'students', 'challenges', 'problems', '180']"
CSE 180R, Biology Meets Computing,True,"['bioinformatics', 'python', 'programming', 'cse', 'biological', 'assessments', 'stepik', 'educational', 'platform', 'students']"
CSE 181, Molecular Sequence Analysis,True,"['genomics', 'phylogenetic', 'nucleic', 'sequencing', 'dna', 'gene', 'biological', 'alignments', 'algorithms', 'sequences']"
CSE 182, Biological Databases,True,"['databases', 'database', 'biological', 'data', 'modeling', 'object', 'implementation', 'topic', 'students', 'features']"
CSE 184, Computational Molecular Biology,True,"['proteomics', 'genomics', 'biological', 'classification', 'proteins', 'protein', 'pathways', 'models', 'metabolic', 'gene']"
CSE 185, Advanced Bioinformatics Laboratory,True,"['bioinformatics', 'genomics', 'genome', 'proteomics', 'sequencing', 'biological', 'computational', 'database', 'software', 'cse']"
CSE 190, Topics in Computer Science and Engineering,True,"['cse', 'engineering', 'interest', 'science', '291', 'coscheduled', 'repeated', 'three', 'in', 'for']"
CSE 191, Seminar in CSE,True,"['seminar', 'class', 'students', 'technical', 'elective', 'interest', 'actively', 'current', 'running', 'involved']"
CSE 192, Senior Seminar in Computer Science and Engineering,True,"['seminars', 'seminar', 'senior', 'seniors', 'cse', 'students', 'undergraduates', 'enrollment', 'members', 'grades']"
CSE 193, Introduction to Computer Science Research,True,"['cse', 'research', 'technical', 'project', 'problem', 'science', 'learning', 'papers', 'participants', 'communication']"
CSE 194," Race, Gender, and Computing",True,"['computing', 'cultural', 'technologies', 'technology', 'diversity', 'inclusion', 'social', 'competence', 'students', 'organizations']"
CSE 197, Field Study in Computer Science and Engineering,True,"['internships', 'grades', 'site', 'np', 'accompanying', 'full', 'science', 'directed', 'on', 'time']"
CSE 197C, Cooperative Practicum in Computer Science and Engineering,True,"['cooperative', 'practicum', 'education', 'site', 'science', 'accompanying', 'on', 'full', 'directed', 'time']"
CSE 198, Directed Group Study,True,"['students', 'engineering', 'grades', 'reading', 'science', 'discussion', 'involves', 'supervision', 'np', 'member']"
CSE 199, Independent Study for Undergraduates,True,"['reading', 'grades', 'research', 'independent', 'arrangement', 'special', 'np', 'by', 'member', 'with']"
CSE 199H, CSE Honors Thesis Research for Undergraduates,True,"['undergraduate', 'cse', 'honors', 'students', 'enroll', 'research', 'completing', 'project', 'letter', 'quarters']"
